question_id,question_text,category,answer_type,option_set,source_scope,source_ref,is_active
1,Will this project introduce a new business model or business process?,business_change,radio,questionYesNoOptions,question_bank,,True
2,Will this project build a new custom application?,application_change,radio,questionYesNoOptions,question_bank,,True
3,Will this project refactor an existing application?,application_change,radio,questionYesNoOptions,question_bank,,True
4,Will this project sunset an existing application?,application_change,radio,questionYesNoOptions,question_bank,,True
5,Will this project purchase SaaS software?,application_change,radio,questionYesNoOptions,question_bank,,True
6,Will this project purchase new licenses or capacity for existing SaaS software?,application_change,radio,questionYesNoOptions,question_bank,,True
7,Will this project onboard a new user group with significantly different roles or permissions?,application_change,radio,questionYesNoOptions,question_bank,,True
8,Will this project enable external access for the application for the first time?,application_change,radio,questionYesNoOptions,question_bank,,True
9,Will this project start storing PII or change the scope of PII stored by the application?,data_change,radio,questionYesNoOptions,question_bank,,True
10,Will this project integrate with another internal or external IT system for the first time?,data_change,radio,questionYesNoOptions,question_bank,,True
11,Will this project start exchanging new data entities between already integrated systems?,data_change,radio,questionYesNoOptions,question_bank,,True
12,Will this project use development languages outside the approved list?,technology_change,radio,questionYesNoOptions,question_bank,,True
13,Will this project use frameworks or core libraries outside the approved list?,technology_change,radio,questionYesNoOptions,question_bank,,True
14,Will this project use technical platforms or middleware outside the approved list?,technology_change,radio,questionYesNoOptions,question_bank,,True
15,Will this project use technical tools outside the approved list?,technology_change,radio,questionYesNoOptions,question_bank,,True
16,Will this project use restricted software?,technology_change,radio,questionYesNoOptions,question_bank,,True
17,"Will this project use communication protocols other than HTTP(S), Kafka, or JDBC?",technology_change,radio,questionYesNoOptions,question_bank,,True
18,Will this project use an application-level authentication method other than OAuth2?,technology_change,radio,questionYesNoOptions,question_bank,,True
19,Will this project use a user-level authentication method other than SSO Provider or Enterprise IDP?,technology_change,radio,questionYesNoOptions,question_bank,,True
20,Will this project use an authorization method other than enterprise authorizaton platform?,compliance_change,radio,questionYesNoOptions,question_bank,,True
21,"Will this project use a deployment location or environment other than Beiyan, Shenyang, or Reston?",compliance_change,radio,questionYesNoOptions,question_bank,,True
22,Will this project build or change reusable services consumed by more than two applications?,other_change,radio,questionYesNoOptions,question_bank,,True
23,Will this project build or change a mini program?,technology_change,radio,questionYesNoOptions,question_bank,,True
24,Will this project build or change a mobile app?,application_change,radio,questionYesNoOptions,question_bank,,True
25,Will this project adopt AI in the project or application?,technology_change,radio,questionYesNoOptions,question_bank,,True
26,How many applications are in scope?,project_scale,select,applicationCountRangeOptions,questionnaire_section,projectScaleSection.applicationsInScope,True
